Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/50983156/salvage-2017-chev-colorado-oh-akron,50983156,"7,463 USD",05/05/2026 03:00 pm GMT+1,2017,CHEV,COLORADO,2.5L 4,4,1GCHSAEA5H1******,CERT OF TITLE-SALVAGE,"184,472 A",ACTUAL,HAIL,650 USD,0 USD,40,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50940666/salvage-2008-chevrolet-silverado-c1500-oh-akron,50940666,"3,772 USD",05/05/2026 03:00 pm GMT+1,2008,CHEV,SILVERADO,4.3L 6,6,1GCEC14X58Z******,CERT OF TITLE-SALVAGE,"155,135 A",ACTUAL,REAR END,90 USD,0 USD,31,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50935676/salvage-2014-chevrolet-silverado-c1500-lt-oh-akron,50935676,"11,482 USD",05/05/2026 03:00 pm GMT+1,2014,CHEV,SILVERADO,4.3L 6,6,1GCRCREH3EZ******,CERT OF TITLE-SALVAGE,"133,080 A",ACTUAL,REAR END,90 USD,0 USD,5,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50801576/clean-title-2020-ford-ranger-xl-oh-akron,50801576,"1,750 USD",05/05/2026 03:00 pm GMT+1,2020,FORD,RANGER,2.3L 4,4,1FTER1EH6LL******,CERTIFICATE OF TITLE,"192,457 A",ACTUAL,FRONT END,"1,600 USD",0 USD,57,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50741496/salvage-2021-subaru-legacy-premium-oh-akron,50741496,"19,307 USD",05/05/2026 03:00 pm GMT+1,2021,SUBA,LEGACY,2.5L 4,4,4S3BWAF64M3******,CERT OF TITLE-SALVAGE,"38,259 A",ACTUAL,HAIL,"8,100 USD",0 USD,35,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50710246/salvage-2014-chevrolet-malibu-1lt-oh-akron,50710246,"4,654 USD",05/05/2026 03:00 pm GMT+1,2014,CHEV,MALIBU,2.5L 4,4,1G11C5SL5EF******,CERT OF TITLE-SALVAGE,"161,568 A",ACTUAL,FRONT END,90 USD,0 USD,15,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50698436/clean-title-2007-ford-explorer-sport-trac-limited-oh-akron,50698436,"2,500 USD",05/05/2026 03:00 pm GMT+1,2007,FORD,EXPLORER SPORT TRAC,4.0L 6,6,1FMEU53K27U******,CERTIFICATE OF TITLE,"181,725 N",NOT ACTUAL,MINOR DENT/SCRATCHES,90 USD,0 USD,26,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50508416/salvage-2019-kia-forte-lxs-oh-akron,50508416,"5,383 USD",05/05/2026 03:00 pm GMT+1,2019,KIA,FORTE,2.0L 4,4,3KPF24AD0KE******,CERT OF TITLE-SALVAGE,"133,304 A",ACTUAL,REAR END,90 USD,0 USD,42,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50496836/salvage-2014-toyota-prius-two-oh-akron,50496836,"9,047 USD",05/05/2026 03:00 pm GMT+1,2014,TOYT,PRIUS,1.8L 4,4,JTDKN3DU8E1******,CERT OF TITLE-SALVAGE,"100,815 A",ACTUAL,FRONT END,400 USD,0 USD,7,OH - AKRON,1.3,N/A,N/A
https://www.copart.com/lot/50435196/clean-title-1997-gradall-telehandler-oh-akron,50435196,0 USD,05/05/2026 03:00 pm GMT+1,1997,GHCW,CONSTRUCTION EQUIPMENT,,,0188002,BILL OF SALE,0 E,EXEMPT,BURN,0 USD,0 USD,801,OH - AKRON,0,N/A,N/A
https://www.copart.com/lot/50430506/salvage-2025-chevrolet-silverado-k1500-trail-boss-custom-oh-akron,50430506,"47,840 USD",05/05/2026 03:00 pm GMT+1,2025,CHEV,SILVERADO,3.0L 6,6,3GCUKCE85SG******,CERT OF TITLE-SALVAGE,"1,070 A",ACTUAL,FRONT END,90 USD,0 USD,33,OH - AKRON,0,N/A,N/A
