Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/47505536/clean-title-2017-ford-transit-t-350-ct-hartford,47505536,0 USD,04/21/2026 03:00 pm GMT+1,2017,FORD,TRANSIT,3.7L 6,6,1FDBW5PM2HK******,CERT OF TITLE (P),"225,804 A",ACTUAL,MINOR DENT/SCRATCHES,"6,500 USD",0 USD,52,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47494256/salvage-2014-jeep-wrangler-unlimited-sport-ct-hartford,47494256,"14,597 USD",04/21/2026 03:00 pm GMT+1,2014,JEP,WRANGLER UNLIMITED,3.6L 6,6,1C4BJWDG3EL******,CERT OF TITLE-SALVAGE,"106,331 A",ACTUAL,REAR END,"1,600 USD",0 USD,17,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47468996/salvage-2013-volkswagen-tiguan-s-ct-hartford,47468996,"8,111 USD",04/21/2026 03:00 pm GMT+1,2013,VOLK,TIGUAN,2.0L 4,4,WVGBV3AX5DW******,CERT OF TITLE-SALVAGE,"97,433 A",ACTUAL,FRONT END,450 USD,0 USD,2508,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47444046/salvage-2018-ram-promaster-city-ct-hartford,47444046,"8,045 USD",04/21/2026 03:00 pm GMT+1,2018,RAM,PROMASTER CITY,2.4L 4,4,ZFBERFAB7J6******,CERT OF TITLE-SALVAGE,"133,345 A",ACTUAL,SIDE,475 USD,0 USD,2332,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47443186/clean-title-2013-icrp-3000-ce-ct-hartford,47443186,"24,824 USD",04/21/2026 03:00 pm GMT+1,2013,ICRP,3000,,,4DRBUSKP0DB******,CERTIFICATE OF TITLE,"116,398 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,853,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47436066/clean-title-2015-volkswagen-jetta-base-ct-hartford,47436066,0 USD,04/21/2026 03:00 pm GMT+1,2015,VOLK,JETTA,2L 4,4,3VW1K7AJ6FM******,CERTIFICATE OF TITLE,"188,784 A",ACTUAL,FRONT END,625 USD,0 USD,70,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47406996/salvage-2023-mazda-cx-5-preferred-ct-hartford,47406996,"22,570 USD",04/21/2026 03:00 pm GMT+1,2023,MAZD,CX-5,2.5L 4,4,JM3KFBCMXP0******,MV-907A SALVAGE CERTIFICATE,"45,502 A",ACTUAL,FRONT END,"4,050 USD",0 USD,45,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47400786/salvage-2021-toyota-corolla-se-ct-hartford,47400786,"18,388 USD",04/21/2026 03:00 pm GMT+1,2021,TOYT,COROLLA,2.0L 4,4,JTDP4MCE2MJ******,CERT OF TITLE-SALVAGE,"51,662 A",ACTUAL,FRONT END,675 USD,0 USD,22,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47393316/salvage-2018-hyundai-tucson-sel-ct-hartford,47393316,"10,014 USD",04/21/2026 03:00 pm GMT+1,2018,HYUN,TUCSON,2.0L 4,4,KM8J3CA47JU******,CERT OF TITLE-SALVAGE,"106,882 A",ACTUAL,FRONT END,475 USD,0 USD,2509,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47348126/salvage-2009-toyota-venza-fwd-4cyl-ct-hartford,47348126,"4,912 USD",04/21/2026 03:00 pm GMT+1,2009,TOYT,VENZA,2.7L 4,4,4T3ZE11A59U******,CERT OF TITLE-SALVAGE,"179,659 A",ACTUAL,FRONT END,600 USD,0 USD,2268,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47346046/salvage-2020-nissan-armada-sl-ct-hartford,47346046,"16,166 USD",04/21/2026 03:00 pm GMT+1,2020,NISS,ARMADA,5.6L 8,8,JN8AY2ND4L9******,CERT OF TITLE-SALVAGE,"96,831 A",ACTUAL,REAR END,450 USD,0 USD,2505,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47343566/salvage-2021-bmw-x3-xdrive30i-ct-hartford,47343566,"23,915 USD",04/21/2026 03:00 pm GMT+1,2021,BMW,X3,2.0L 4,4,5UXTY5C08M9******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,SIDE,"4,550 USD",0 USD,2050,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47280286/salvage-2019-subaru-ascent-premium-ct-hartford,47280286,"16,190 USD",04/21/2026 03:00 pm GMT+1,2019,SUBA,ASCENT,2.4L 4,4,4S4WMACD6K3******,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,450 USD,0 USD,2057,CT - HARTFORD,0,N/A,N/A
https://www.copart.com/lot/47274056/clean-title-2005-nissan-altima-2-5-ct-hartford,47274056,0 USD,04/21/2026 03:00 pm GMT+1,2005,NISS,ALTIMA,2.5L 4,4,1N4AL11D25C******,CERT OF TITLE-REBUILT,"175,649 A",ACTUAL,FRONT END,450 USD,0 USD,4,CT - HARTFORD,0,N/A,N/A
